Word,Timestamp (seconds),YouTube URL
west,30,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=30
the,31,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=31
word,32,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=32
God,33,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=33
has,34,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=34
got,35,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=35
so,36,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=36
many,37,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=37
funny,38,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=38
associations,39,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=39
but,40,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=40
according,41,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=41
to,42,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=42
Buddhist,43,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=43
philosophy,44,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=44
all,45,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=45
this,46,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=46
universe,47,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=47
is,48,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=48
one,49,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=49
Tata,50,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=50
that,51,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=51
means,52,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=52
"10,000",53,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=53
functions,54,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=54
or,55,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=55
"10,000",56,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=56
Things,57,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=57
One,58,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=58
suchness,59,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=59
and,60,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=60
we're,61,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=61
all,62,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=62
one,63,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=63
substance,64,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=64
and,65,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=65
therefore,66,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=66
it,67,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=67
consists,68,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=68
of,69,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=69
now,70,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=70
you,71,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=71
see,72,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=72
it,73,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=73
now,74,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=74
you,75,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=75
don't,76,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=76
hear,77,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=77
you,78,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=78
are,79,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=79
here,80,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=80
you,81,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=81
are,82,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=82
here,83,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=83
you,84,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=84
want,85,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=85
because,86,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=86
that's,87,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=87
the,88,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=88
very,89,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=89
nature,90,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=90
of,91,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=91
energy,92,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=92
to,93,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=93
be,94,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=94
like,95,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=95
waves,96,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=96
and,97,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=97
waves,98,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=98
have,99,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=99
crests,100,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=100
and,101,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=101
Trucks,102,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=102
Only,103,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=103
We,104,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=104
are,105,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=105
being,106,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=106
under,107,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=107
a,108,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=108
certain,109,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=109
kind,110,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=110
of,111,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=111
sleepiness,112,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=112
or,113,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=113
Illusion,114,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=114
imagine,115,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=115
that,116,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=116
the,117,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=117
trough,118,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=118
turn,119,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=119
on,120,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=120
the,121,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=121
light,122,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=122
principal,123,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=123
and,124,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=124
that,125,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=125
off,126,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=126
is,127,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=127
finally,128,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=128
going,129,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=129
to,130,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=130
triumph,131,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=131
over,132,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=132
on,133,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=133
and,134,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=134
we,135,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=135
shall,136,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=136
I,137,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=137
say,138,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=138
bug,139,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=139
ourselves,140,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=140
by,141,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=141
indulging,142,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=142
in,143,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=143
that,144,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=144
illusion,145,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=145
she,146,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=146
supposing,147,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=147
Darkness,148,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=148
did,149,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=149
went,150,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=150
out,151,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=151
wouldn't,152,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=152
that,153,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=153
be,154,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=154
terrible,155,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=155
and,156,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=156
therefore,157,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=157
it,158,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=158
is,159,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=159
arranged,160,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=160
that,161,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=161
you,162,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=162
stopped,163,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=163
being,164,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=164
you,165,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=165
after,166,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=166
a,167,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=167
while,168,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=168
and,169,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=169
then,170,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=170
come,171,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=171
back,172,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=172
to,173,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=173
someone,174,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=174
else,175,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=175
all,176,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=176
together,177,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=177
and,178,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=178
so,179,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=179
when,180,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=180
you,181,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=181
find,182,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=182
that,183,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=183
out,184,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=184
you,185,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=185
become,186,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=186
full,187,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=187
of,188,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=188
energy,189,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=189
and,190,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=190
delight,191,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=191
and,192,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=192
you,193,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=193
suddenly,194,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=194
struggles,195,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=195
that,196,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=196
naturally,197,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=197
go,198,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=198
with,199,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=199
human,200,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=200
existence,201,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=201
thought,202,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=202
to,203,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=203
have,204,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=204
no,205,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=205
hang,206,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=206
up,207,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=207
that,208,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=208
is,209,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=209
to,210,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=210
say,211,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=211
to,212,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=212
be,213,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=213
able,214,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=214
to,215,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=215
drift,216,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=216
like,217,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=217
a,218,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=218
cloud,219,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=219
and,220,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=220
flow,221,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=221
like,222,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=222
water,223,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=223
seeing,224,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=224
that,225,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=225
all,226,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=226
life,227,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=227
is,228,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=228
a,229,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=229
magnificent,230,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=230
illusion,231,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=231
fundamental,232,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=232
you,233,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=233
will,234,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=234
be,235,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=235
afraid,236,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=236
on,237,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=237
the,238,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=238
surface,239,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=239
you,240,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=240
will,241,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=241
be,242,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=242
afraid,243,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=243
of,244,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=244
putting,245,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=245
your,246,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=246
hand,247,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=247
in,248,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=248
the,249,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=249
fire,250,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=250
will,251,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=251
be,252,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=252
afraid,253,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=253
of,254,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=254
getting,255,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=255
sick,256,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=256
but,257,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=257
you,258,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=258
will,259,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=259
not,260,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=260
be,261,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=261
afraid,262,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=262
of,263,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=263
fear,264,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=264
fear,265,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=265
